,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
2152,0.683,0.492,5,-8.098,1,0.0263,0.299,0.00249,0.149,0.585,98.917,audio_features,6Y4ZKPjfuNvVi5OCtyIz73,spotify:track:6Y4ZKPjfuNvVi5OCtyIz73,https://api.spotify.com/v1/tracks/6Y4ZKPjfuNvVi5OCtyIz73,https://api.spotify.com/v1/audio-analysis/6Y4ZKPjfuNvVi5OCtyIz73,186720,4
2153,0.594,0.273,0,-11.569,1,0.0327,0.741,0.000144,0.337,0.375,120.926,audio_features,1KtqnK25qwyUK17y19Aks9,spotify:track:1KtqnK25qwyUK17y19Aks9,https://api.spotify.com/v1/tracks/1KtqnK25qwyUK17y19Aks9,https://api.spotify.com/v1/audio-analysis/1KtqnK25qwyUK17y19Aks9,206960,4
2154,0.516,0.157,5,-19.213,1,0.0354,0.876,1.42e-05,0.142,0.783,93.719,audio_features,4PvPkRcbnO4s67MPnij3sh,spotify:track:4PvPkRcbnO4s67MPnij3sh,https://api.spotify.com/v1/tracks/4PvPkRcbnO4s67MPnij3sh,https://api.spotify.com/v1/audio-analysis/4PvPkRcbnO4s67MPnij3sh,192000,4
2155,0.374,0.585,8,-9.436,1,0.054,0.748,0.0,0.821,0.654,176.859,audio_features,3R6yNicsZrWF8ybl02imcB,spotify:track:3R6yNicsZrWF8ybl02imcB,https://api.spotify.com/v1/tracks/3R6yNicsZrWF8ybl02imcB,https://api.spotify.com/v1/audio-analysis/3R6yNicsZrWF8ybl02imcB,179720,4
2156,0.524,0.617,7,-9.509,1,0.0271,0.395,0.000328,0.136,0.73,152.972,audio_features,3I2K4k4yTNpcetdnblpGwV,spotify:track:3I2K4k4yTNpcetdnblpGwV,https://api.spotify.com/v1/tracks/3I2K4k4yTNpcetdnblpGwV,https://api.spotify.com/v1/audio-analysis/3I2K4k4yTNpcetdnblpGwV,248293,4
2157,0.588,0.723,9,-5.351,1,0.0271,0.55,0.0609,0.391,0.888,133.812,audio_features,35tzV4obq7W6oOWjpDmbAG,spotify:track:35tzV4obq7W6oOWjpDmbAG,https://api.spotify.com/v1/tracks/35tzV4obq7W6oOWjpDmbAG,https://api.spotify.com/v1/audio-analysis/35tzV4obq7W6oOWjpDmbAG,219520,4
2158,0.523,0.824,5,-6.68,1,0.0304,0.15,0.000873,0.267,0.838,133.539,audio_features,4xdTtglX6GUyseNIG5WQYz,spotify:track:4xdTtglX6GUyseNIG5WQYz,https://api.spotify.com/v1/tracks/4xdTtglX6GUyseNIG5WQYz,https://api.spotify.com/v1/audio-analysis/4xdTtglX6GUyseNIG5WQYz,181733,4
2159,0.523,0.482,4,-6.646,1,0.0245,0.612,0.0103,0.264,0.283,79.581,audio_features,2dJrn376fJPUCj1f4txnRQ,spotify:track:2dJrn376fJPUCj1f4txnRQ,https://api.spotify.com/v1/tracks/2dJrn376fJPUCj1f4txnRQ,https://api.spotify.com/v1/audio-analysis/2dJrn376fJPUCj1f4txnRQ,210628,4
2160,0.549,0.426,11,-7.59,1,0.0427,0.197,0.0,0.104,0.904,145.256,audio_features,2hKQZX6MyNEYo3eX2kPAxd,spotify:track:2hKQZX6MyNEYo3eX2kPAxd,https://api.spotify.com/v1/tracks/2hKQZX6MyNEYo3eX2kPAxd,https://api.spotify.com/v1/audio-analysis/2hKQZX6MyNEYo3eX2kPAxd,200720,4
2161,0.641,0.574,6,-8.071,0,0.0336,0.259,5.92e-06,0.277,0.55,146.801,audio_features,72ha7F3FCjTFXFkUHt4fMe,spotify:track:72ha7F3FCjTFXFkUHt4fMe,https://api.spotify.com/v1/tracks/72ha7F3FCjTFXFkUHt4fMe,https://api.spotify.com/v1/audio-analysis/72ha7F3FCjTFXFkUHt4fMe,179013,4
2162,0.596,0.256,2,-9.947,1,0.0294,0.907,8.43e-06,0.118,0.342,115.187,audio_features,7jb1ZSirsHV1H2cLTNbqDX,spotify:track:7jb1ZSirsHV1H2cLTNbqDX,https://api.spotify.com/v1/tracks/7jb1ZSirsHV1H2cLTNbqDX,https://api.spotify.com/v1/audio-analysis/7jb1ZSirsHV1H2cLTNbqDX,228320,1
